Category,count
Bedding & Bath > Bath,2
Kitchen & Dining > Drinkware,2
Mother & Baby > Feeding > Utensils,2
Toys & Games > Dress Up & Pretend Play > Playsets,2
Sports & Outdoors > Outdoor Recreation > Cycling > Cycling Apparel,2
Fashion > Women,2
Bags and Travel > Men Bags > Wallets & Accessories,1
Cameras > Camera Accessories > Sports & Action Camera Accessories,1
Fashion > Boys > Accessories,1
Toys & Games > Traditional Games,1
Motors > Automotive > Auto Parts & Spares > Alternators & Generators,1
Sports & Outdoors > Outdoor Recreation > Cycling > Bike Accessories,1
"Motors > Automotive > Auto Parts & Spares > Shocks, Struts & Suspension",1
Motors > Automotive > Auto Parts & Spares > Steering System,1
Cameras > Drones > Drone Accessories,1
Motors > Automotive > Auto Parts & Spares > Starters & Parts,1
"TV, Audio / Video, Gaming & Wearables > Audio > Home Entertainment > Home Audio ...",1
"Media, Music & Books > Books > Local Books",1
Computers & Laptops > PC Gaming,1
Sports & Outdoors > Outdoor Recreation > Fishing,1
"TV, Audio / Video, Gaming & Wearables > Console Gaming > Nintendo",1
Motors > Automotive > Car Care,1
Motors > Motorcycle > Moto Tires & Wheels,1
Sports & Outdoors > Outdoor Recreation > Camping & Hiking,1
Motors > Automotive > Auto Tools & Equipment > Garage DIY,1
Stationery & Craft > Packaging & Cartons,1
Motors > Motorcycle > Riding Gear,1
Groceries > Laundry & Household > Laundry & Household Sundries,1
Kitchen & Dining > Kitchen Utensils,1
Medicine > Medical Devices & Accessories,1
Motors > Automotive > Auto Tools & Equipment > Body Repair Tools,1
Toys & Games > Party Supplies,1
"TV, Audio / Video, Gaming & Wearables > Console Gaming > Xbox",1
"TV, Audio / Video, Gaming & Wearables > Audio > Home Entertainment > Component S...",1
Watches Sunglasses Jewellery > Eyewear > Women,1
Bags and Travel,1
"Media, Music & Books > Books",1
